position	device	resolution	file	alt_text
1	tablet-10	1440x2560	01-todays-workout.jpg	Today screen with a generated workout, training freshness, and weekly muscle targets.
2	tablet-10	1440x2560	02-exercise-library.jpg	Exercise library with filters, favorites, search, and training metadata.
