position	device	resolution	file	alt_text
1	phone	1080x1920	01-todays-workout.jpg	Today screen with a generated workout, training freshness, and weekly muscle targets.
2	phone	1080x1920	02-exercise-library.jpg	Exercise library with filters, favorites, search, and training metadata.
